date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:30	75307/75307	---MCZ	200	added ('OK')	text/html	etag:W/%225e6e2984-1262b%22	http://marvin.malyarchuk.space/ind-particles.html	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/ind-particles.html	(from )
21:22:30	3793/3793	---MC-	424	error ('Failed%20Dependency')	text/html	date:Tue,%2026%20Apr%202022%2015:52:29%20GMT	http://marvin.malyarchuk.space/robots.txt		(from )
21:22:32	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225b6c42e8-22688%22	http://marvin.malyarchuk.space/css/plugins/bootstrap.min.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/bootstrap.min.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:32	57387/57387	---MCZ	200	added ('OK')	text/css	etag:W/%225e45dc9f-e02b%22	http://marvin.malyarchuk.space/css/plugins/font-awesome.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/font-awesome.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:32	12620/12620	---MCZ	200	added ('OK')	text/css	etag:W/%225e4d6634-314c%22	http://marvin.malyarchuk.space/css/plugins/feather.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/feather.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:32	3706/3706	---MCZ	200	added ('OK')	text/css	etag:W/%225d24c823-e7a%22	http://marvin.malyarchuk.space/css/plugins/simplebar.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/simplebar.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:33	19774/19774	---MCZ	200	added ('OK')	text/css	etag:W/%225e29c2ac-4d3e%22	http://marvin.malyarchuk.space/css/plugins/swiper.min.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/swiper.min.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:33	12582/12582	---MCZ	200	added ('OK')	text/css	etag:W/%225e47bc98-3126%22	http://marvin.malyarchuk.space/css/plugins/map.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/map.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:33	8197/8197	---MCZ	200	added ('OK')	text/css	etag:W/%225e29c22b-2005%22	http://marvin.malyarchuk.space/css/plugins/magnific-popup.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/magnific-popup.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:33	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225e4b1486-d17%22	http://marvin.malyarchuk.space/css/plugins/owl-carousel-min.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/owl-carousel-min.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:34	1013/1013	---M--	200	added ('OK')	text/css	etag:%225e4b1487-3f5%22	http://marvin.malyarchuk.space/css/plugins/owl-theme-default-min.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/plugins/owl-theme-default-min.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:34	45/45	---M--	200	added ('OK')	text/css	etag:%225e5cfa30-2d%22	http://marvin.malyarchuk.space/css/settings/box/box.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/box/box.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:35	1373/1373	---M--	200	added ('OK')	text/css	etag:%225e59741e-55d%22	http://marvin.malyarchuk.space/css/settings/box/circle.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/box/circle.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:35	70132/70132	---MCZ	200	added ('OK')	text/css	etag:W/%225e6e28d1-111f4%22	http://marvin.malyarchuk.space/css/style-dark.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/style-dark.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:35	37/37	---M--	200	added ('OK')	text/css	etag:%225e52d6be-25%22	http://marvin.malyarchuk.space/css/settings/title/title.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/title/title.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:35	307/307	---M--	200	added ('OK')	text/css	etag:%225e5d1db3-133%22	http://marvin.malyarchuk.space/css/settings/title/title-1.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/title/title-1.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:36	2150/2150	---MCZ	200	added ('OK')	text/css	etag:W/%225e627c01-866%22	http://marvin.malyarchuk.space/css/settings/color/green-color.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/color/green-color.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:36	3014/3014	---MCZ	200	added ('OK')	text/css	etag:W/%225e5d07d3-bc6%22	http://marvin.malyarchuk.space/setting/style-demo.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/setting/style-demo.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:36	70215/70215	---MCZ	200	added ('OK')	text/css	etag:W/%225e6e28f0-11247%22	http://marvin.malyarchuk.space/css/style-light.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/style-light.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:37	551/551	---M--	200	added ('OK')	text/css	etag:%225e62699f-227%22	http://marvin.malyarchuk.space/css/settings/box/no-box.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/box/no-box.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:37	78117/78117	---MCZ	200	added ('OK')	text/html	etag:W/%225e6e2e27-13125%22	http://marvin.malyarchuk.space/rtl/ind-rtl-particles.html	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/rtl/ind-rtl-particles.html	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:37	3201/3201	---MCZ	200	added ('OK')	text/css	etag:W/%225e5d0d42-c81%22	http://marvin.malyarchuk.space/css/settings/box/hexagon.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/box/hexagon.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:37	74/74	---M--	200	added ('OK')	text/css	etag:%225e5521c1-4a%22	http://marvin.malyarchuk.space/css/settings/title/no-title.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/title/no-title.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:38	491/491	---M--	200	added ('OK')	text/css	etag:%225e592211-1eb%22	http://marvin.malyarchuk.space/css/settings/title/title-2.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/title/title-2.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:38	2146/2146	---MCZ	200	added ('OK')	text/css	etag:W/%225e627fa9-862%22	http://marvin.malyarchuk.space/css/settings/color/blue-color.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/color/blue-color.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:38	2146/2146	---MCZ	200	added ('OK')	text/css	etag:W/%225e62803a-862%22	http://marvin.malyarchuk.space/css/settings/color/red-color.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/color/red-color.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:39	2154/2154	---MCZ	200	added ('OK')	text/css	etag:W/%225e627ff1-86a%22	http://marvin.malyarchuk.space/css/settings/color/purple-color.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/color/purple-color.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:39	2150/2150	---MCZ	200	added ('OK')	text/css	etag:W/%225e6280af-866%22	http://marvin.malyarchuk.space/css/settings/color/sea-color.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/color/sea-color.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:39	2150/2150	---MCZ	200	added ('OK')	text/css	etag:W/%225e6280ea-866%22	http://marvin.malyarchuk.space/css/settings/color/yellow-color.css	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/css/settings/color/yellow-color.css	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:40	3463/3463	---M--	200	added ('OK')	image/png	etag:%225e4c55ae-d87%22	http://marvin.malyarchuk.space/img/logo.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/logo.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:22:59	120099/120099	---M--	200	added ('OK')	image/jpeg	etag:%225e3b2981-1d523%22	http://marvin.malyarchuk.space/img/user-photo.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/user-photo.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:10	178653/178653	---M--	200	added ('OK')	image/jpeg	etag:%225dda6809-2b9dd%22	http://marvin.malyarchuk.space/img/blog/img-2.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/blog/img-2.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:27	166622/166622	---M--	200	added ('OK')	image/jpeg	etag:%225dda7401-28ade%22	http://marvin.malyarchuk.space/img/portfolio/img-3.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-3.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:31	18637/18637	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-48cd%22	http://marvin.malyarchuk.space/img/clients/client-1.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-1.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:32	135817/135817	---M--	200	added ('OK')	image/jpeg	etag:%225dda73fd-21289%22	http://marvin.malyarchuk.space/img/portfolio/img-6.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/portfolio/img-6.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:33	15861/15861	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-3df5%22	http://marvin.malyarchuk.space/img/clients/client-2.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-2.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:36	395535/395535	---M--	200	added ('OK')	image/jpeg	etag:%225e3d4028-6090f%22	http://marvin.malyarchuk.space/img/bg.jpg	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/bg.jpg	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:36	15475/15475	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-3c73%22	http://marvin.malyarchuk.space/img/clients/client-4.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-4.png	(from http://marvin.malyarchuk.space/ind-particles.html)
21:23:36	24756/24756	---M--	200	added ('OK')	image/png	etag:%225e4b13ef-60b4%22	http://marvin.malyarchuk.space/img/clients/client-3.png	C:/Users/Lenovo/Downloads/demoweb/marvin.malyarchuk.space/img/clients/client-3.png	(from http://marvin.malyarchuk.space/ind-particles.html)
